x_true 	 x_rec 
1.328461e-04 	 1.328461e-04
1.337812e-04 	 1.337812e-04
1.346143e-04 	 1.346143e-04
1.353412e-04 	 1.353412e-04
1.359578e-04 	 1.359578e-04
1.364598e-04 	 1.364598e-04
1.368432e-04 	 1.368432e-04
1.371035e-04 	 1.371035e-04
1.372364e-04 	 1.372364e-04
1.372375e-04 	 1.372375e-04
1.371023e-04 	 1.371023e-04
1.368265e-04 	 1.368265e-04
1.364054e-04 	 1.364054e-04
1.358345e-04 	 1.358345e-04
1.351091e-04 	 1.351091e-04
1.342245e-04 	 1.342245e-04
1.331760e-04 	 1.331760e-04
1.319588e-04 	 1.319588e-04
1.305681e-04 	 1.305681e-04
1.289989e-04 	 1.289989e-04
1.272464e-04 	 1.272464e-04
1.253056e-04 	 1.253056e-04
1.231714e-04 	 1.231714e-04
1.208388e-04 	 1.208388e-04
1.183026e-04 	 1.183026e-04
1.155577e-04 	 1.155577e-04
1.125988e-04 	 1.125988e-04
1.094206e-04 	 1.094206e-04
1.060178e-04 	 1.060178e-04
1.023851e-04 	 1.023851e-04
9.851703e-05 	 9.851703e-05
9.440810e-05 	 9.440810e-05
9.005279e-05 	 9.005279e-05
8.544553e-05 	 8.544553e-05
8.058071e-05 	 8.058071e-05
7.545266e-05 	 7.545266e-05
7.005565e-05 	 7.005565e-05
6.438392e-05 	 6.438392e-05
5.843166e-05 	 5.843166e-05
5.219299e-05 	 5.219299e-05
4.566201e-05 	 4.566201e-05
3.883274e-05 	 3.883274e-05
3.169918e-05 	 3.169918e-05
2.425526e-05 	 2.425526e-05
1.649487e-05 	 1.649487e-05
8.411853e-06 	 8.411853e-06
0.000000e+00 	 -1.882859e-18
0.000000e+00 	 -1.436186e-18
5.954280e-08 	 5.954280e-08
2.381276e-07 	 2.381276e-07
5.356235e-07 	 5.356235e-07
9.518126e-07 	 9.518126e-07
1.486389e-06 	 1.486389e-06
2.138962e-06 	 2.138962e-06
2.909049e-06 	 2.909049e-06
3.796085e-06 	 3.796085e-06
4.799416e-06 	 4.799416e-06
5.918299e-06 	 5.918299e-06
7.151907e-06 	 7.151907e-06
8.499323e-06 	 8.499323e-06
9.959545e-06 	 9.959545e-06
1.153148e-05 	 1.153148e-05
1.321396e-05 	 1.321396e-05
1.500570e-05 	 1.500570e-05
1.690537e-05 	 1.690537e-05
1.891152e-05 	 1.891152e-05
2.102262e-05 	 2.102262e-05
2.323707e-05 	 2.323707e-05
2.555315e-05 	 2.555315e-05
2.796909e-05 	 2.796909e-05
3.048300e-05 	 3.048300e-05
3.309293e-05 	 3.309293e-05
3.579683e-05 	 3.579683e-05
3.859255e-05 	 3.859255e-05
4.147787e-05 	 4.147787e-05
4.445048e-05 	 4.445048e-05
4.750799e-05 	 4.750799e-05
5.064791e-05 	 5.064791e-05
5.386766e-05 	 5.386766e-05
5.716458e-05 	 5.716458e-05
6.053593e-05 	 6.053593e-05
6.397887e-05 	 6.397887e-05
6.749047e-05 	 6.749047e-05
7.106774e-05 	 7.106774e-05
7.470757e-05 	 7.470757e-05
7.840678e-05 	 7.840678e-05
8.216210e-05 	 8.216210e-05
8.597017e-05 	 8.597017e-05
8.982754e-05 	 8.982754e-05
9.373069e-05 	 9.373069e-05
9.767598e-05 	 9.767598e-05
1.016597e-04 	 1.016597e-04
1.056781e-04 	 1.056781e-04
1.097273e-04 	 1.097273e-04
1.138032e-04 	 1.138032e-04
1.179019e-04 	 1.179019e-04
1.220193e-04 	 1.220193e-04
1.261509e-04 	 1.261509e-04
1.302927e-04 	 1.302927e-04
1.344400e-04 	 1.344400e-04
1.385886e-04 	 1.385886e-04
1.427337e-04 	 1.427337e-04
1.468707e-04 	 1.468707e-04
1.509949e-04 	 1.509949e-04
1.551014e-04 	 1.551014e-04
1.591852e-04 	 1.591852e-04
1.632415e-04 	 1.632415e-04
1.672650e-04 	 1.672650e-04
1.712506e-04 	 1.712506e-04
1.751930e-04 	 1.751930e-04
1.790868e-04 	 1.790868e-04
1.829267e-04 	 1.829267e-04
1.867069e-04 	 1.867069e-04
1.904220e-04 	 1.904220e-04
1.940662e-04 	 1.940662e-04
1.976337e-04 	 1.976337e-04
